Year,FIPS County Code,County Name,DHS Service Area,Judicial District,Abuse Type,Occurences,County Primary Point
2020,19171,Tama,4-Cedar Rapids,6-SixthJD,Physical Abuse,12,POINT (-92.5325425 42.0798117)
2018,19187,Webster,2-Northern,2-Second JD,Mental Injury,1,POINT (-94.1817881 42.4279662)
2018,19189,Winnebago,2-Northern,2-Second JD,Denial of Critical Care (Neglect),71,POINT (-93.7341955 43.3775678)
2018,19185,Wayne,5-Des Moines,5-FifthJD,Dangerous Substance,16,POINT (-93.3273639 40.7394702)
2018,19193,Woodbury,1-Western,3-Third JD,Dangerous Substance,304,POINT (-96.0447673 42.3897169)
2018,19193,Woodbury,1-Western,3-Third JD,Sexual Abuse,35,POINT (-96.0447673 42.3897169)
2018,19195,Worth,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),2,POINT (-93.2608476 43.3773984)
2018,19025,Calhoun,2-Northern,2-Second JD,Denial of Critical Care (Neglect),23,POINT (-94.6404136 42.3851848)
2018,19131,Mitchell,2-Northern,2-Second JD,Denial of Critical Care (Neglect),44,POINT (-92.7890315 43.3564124)
2018,19051,Davis,4-Cedar Rapids,8-Eigth JD,Allows Access to Obscene Materials,1,POINT (-92.4097173 40.7476891)
2018,19037,Chickasaw,2-Northern,1-First JD,Denial of Critical Care (Neglect),26,POINT (-92.3176637 43.0600414)
2018,19171,Tama,4-Cedar Rapids,6-SixthJD,Presence of Illegal Drugs in Child's System (PID),4,POINT (-92.5325425 42.0798117)
2018,19125,Marion,5-Des Moines,5-FifthJD,Allows Access to Obscene Materials,1,POINT (-93.0994367 41.3344515)
2018,19121,Madison,5-Des Moines,5-FifthJD,Allows Access by Registered Sex Offender,2,POINT (-94.0155619 41.3307142)
2018,19093,Ida,1-Western,3-Third JD,Dangerous Substance,27,POINT (-95.5134962 42.3868747)
2018,19167,Sioux,1-Western,3-Third JD,Sexual Abuse,5,POINT (-96.1778827 43.0826174)
2018,19085,Harrison,1-Western,4-FourthJD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-95.8169209 41.6828528)
2018,19001,Adair,5-Des Moines,5-FifthJD,Dangerous Substance,8,POINT (-94.4709413 41.3307464)
2018,19033,Cerro Gordo,2-Northern,2-Second JD,Allows Access by Registered Sex Offender,2,POINT (-93.2608184 43.0815577)
2018,19173,Taylor,1-Western,5-FifthJD,Dangerous Substance,21,POINT (-94.6964148 40.7374324)
2018,19125,Marion,5-Des Moines,5-FifthJD,Sexual Abuse,5,POINT (-93.0994367 41.3344515)
2018,19147,Palo Alto,1-Western,3-Third JD,Physical Abuse,3,POINT (-94.6781371 43.0820643)
2018,19061,Dubuque,3-Eastern,1-First JD,Physical Abuse,27,POINT (-90.8824564 42.468832)
2018,19043,Clayton,2-Northern,1-First JD,Dangerous Substance,18,POINT (-91.3414328 42.8447493)
2018,19079,Hamilton,2-Northern,2-Second JD,Denial of Critical Care (Neglect),18,POINT (-93.7068085 42.3837722)
2018,19101,Jefferson,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),3,POINT (-91.9488774 41.0317596)
2018,19113,Linn,4-Cedar Rapids,6-SixthJD,Allows Access by Registered Sex Offender,3,POINT (-91.5989646 42.0789478)
2018,19001,Adair,5-Des Moines,5-FifthJD,Sexual Abuse,4,POINT (-94.4709413 41.3307464)
2018,19161,Sac,1-Western,2-Second JD,Presence of Illegal Drugs in Child's System (PID),4,POINT (-95.1053946 42.3862604)
2018,19045,Clinton,3-Eastern,7-Seventh JD,Dangerous Substance,90,POINT (-90.5319724 41.8980358)
2018,19091,Humboldt,2-Northern,2-Second JD,Presence of Illegal Drugs in Child's System (PID),2,POINT (-94.2071868 42.7764686)
