Grant Years,State Programs,Batch Year,County Number,County Name,Total Students Awarded,Total Dollars Awarded,State Name,GNIS Number,GEO Coordinates,Grant Year End Date
2006-07,Kibbie Grant,7,42,HARDIN,0,0,Iowa,465230,POINT (-93.2404025 42.3838803),2007
2012-13,Iowa Work Study,23,3,ALLAMAKEE,0,0,Iowa,465192,POINT (-91.3780923 43.2842838),2013
2019-20,Iowa Tuition Grant,20,88,Union,46,195388,Iowa,465276,POINT (-94.2423792 41.0277304),2020
2019-20,Vocational Technical Tuition Grant,20,94,Webster,48,30017,Iowa,465282,POINT (-94.18178810000002 42.4279662),2020
2019-20,Vocational Technical Tuition Grant,20,84,Sioux,24,17543,Iowa,465272,POINT (-96.1778827 43.0826174),2020
2019-20,Vocational Technical Tuition Grant,20,89,Van Buren,10,6900,Iowa,465277,POINT (-91.9499871 40.7532294),2020
2019-20,Vocational Technical Tuition Grant,20,98,Worth,9,6424,Iowa,465286,POINT (-93.2608476 43.3773984),2020
2019-20,Vocational Technical Tuition Grant,20,85,Story,53,32733,Iowa,465273,POINT (-93.4650448 42.0362415),2020
2019-20,Vocational Technical Tuition Grant,20,90,Wapello,39,26283,Iowa,465278,POINT (-92.4094499 41.03058450000001),2020
2019-20,Vocational Technical Tuition Grant,20,93,Wayne,3,2700,Iowa,465281,POINT (-93.3273639 40.73947020000001),2020
2019-20,Vocational Technical Tuition Grant,20,86,Tama,25,16089,Iowa,465274,POINT (-92.5325425 42.07981170000001),2020
2019-20,Vocational Technical Tuition Grant,20,97,Woodbury,67,48199,Iowa,465285,POINT (-96.0447673 42.3897169),2020
2019-20,Vocational Technical Tuition Grant,20,91,Warren,32,19906,Iowa,465279,POINT (-93.5613594 41.3343735),2020
2019-20,Vocational Technical Tuition Grant,20,87,Taylor,7,5438,Iowa,465275,POINT (-94.6964148 40.73743240000001),2020
2019-20,Vocational Technical Tuition Grant,20,92,Washington,29,18500,Iowa,465280,POINT (-91.7178676 41.335591),2020
2019-20,Vocational Technical Tuition Grant,20,96,Winneshiek,30,17169,Iowa,465284,POINT (-91.8437074 43.2906746),2020
2019-20,Vocational Technical Tuition Grant,20,95,Winnebago,10,8325,Iowa,465283,POINT (-93.7341955 43.37756780000001),2020
2019-20,Vocational Technical Tuition Grant,20,88,Union,18,11338,Iowa,465276,POINT (-94.2423792 41.0277304),2020
2019-20,Vocational Technical Tuition Grant,20,99,Wright,24,18365,Iowa,465287,POINT (-93.7351465 42.7331189),2020
2019-20,Iowa Tuition Grant For-Profit,20,52,Johnson,6,1827,Iowa,465240,POINT (-91.5880849 41.6715511),2020
2019-20,National Guard Educational Assistance,20,2,Adams,0,0,Iowa,465191,POINT (-94.6991849 41.02898390000001),2020
2019-20,All Iowa Opportunity Scholarship,20,70,Muscatine,10,45279,Iowa,465258,POINT (-91.1127562 41.4839221),2020
2019-20,Vocational Technical Tuition Grant,20,47,Ida,12,9563,Iowa,465235,POINT (-95.5134962 42.3868747),2020
