Iowa DOT Case Number,Law Enforcement Case Number,Date of Crash,Month of Crash,Day of Week,Time of Crash,Hour,DOT District,City Name,County Name,Route with System,Location Description,First Harmful Event,Location of First Harmful Event,Manner of Crash/Collision,Major Cause,Drug or Alcohol ,Environmental Conditions,Light Conditions,Surface Conditions,Weather Conditions,Roadway Contribution,Roadway Type,Roadway Surface,Work Zone,Crash Severity,Number of Fatalities,Number of Injuries,Number of Major Injuries,Number of Minor Injuries,Number of Possible Injuries,Number of Unknown Injuries,Amount of Property Damage,Number of Vehicles Involved,Total Number of Occupants,Travel Direction,Location
2009485468,,01/02/2009,01-January,6-Friday,17:16,1700 Hours,District 6 (East Central),,,US 6,US 6,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,N/A,N/A,N/A,N/A,N/A,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1500,1,1,N/A,POINT (-92.268628620992 41.742721895481)
2009482651,08-0038,01/03/2009,01-January,7-Saturday,15:11,1500 Hours,District 1 (Central),,,,KINGMAN AVE & 22ND ST,Collision with:  Vehicle in traffic,On Roadway,"Angle, oncoming left turn",Other (explain in narrative):  No improper action,None Indicated,None apparent,Daylight,Wet,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,N/A,Major Injury,0,1,1,0,0,0,16000,2,4,N/A,POINT (-93.736054613632 41.595524971785)
2009482688,1-09-000005,01/03/2009,01-January,7-Saturday,03:16,0300 Hours,District 4 (Southwest),,,,Co Rd M56/ROAD M56,Non-collision events:  Overturn/rollover,On Roadway,Non-collision (single vehicle),Crossed centerline (undivided),Alcohol (Statutory),None apparent,Dark - roadway not lighted,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Unpaved,N/A,Possible/Unknown,0,2,0,0,2,0,6000,1,2,N/A,POINT (-95.118040507196 41.579511630134)
2009484752,S79009003,01/03/2009,01-January,7-Saturday,10:45,1000 Hours,District 1 (Central),,,IA 146,IA 146/IOWA 146,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, opposite direction",Crossed centerline (undivided),None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,7000,2,2,N/A,POINT (-92.727083027213 41.598124702862)
2009484448,2009000498,01/03/2009,01-January,7-Saturday,17:29,1700 Hours,District 6 (East Central),,,US 30,US 30/73 ST,Collision with fixed object:  Culvert/pipe opening,Outside trafficway,Non-collision (single vehicle),Swerving/Evasive Action,None Indicated,None apparent,Dark - roadway not lighted,Wet,Rain,None apparent,Non-intersection:  Other non-intersection (explain in narrative),Paved,N/A,Fatal,2,0,0,0,0,0,5000,1,2,N/A,POINT (-91.849899776808 41.963947518287)
2009485107,09000215,01/04/2009,01-January,1-Sunday,02:14,0200 Hours,District 2 (Northeast),,,,S CAROLINA AVE,Collision with:  Parked motor vehicle,On Roadway,Rear-end (front to rear),Unknown,None Indicated,None apparent,Dark - roadway lighted,Ice/frost,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1000,2,777,N/A,POINT (-93.191046883223 43.145993091593)
2009484912,,01/04/2009,01-January,1-Sunday,00:45,0000 Hours,District 1 (Central),,,,47TH ST,Collision with:  Parked motor vehicle,On Roadway,Broadside (front to side),Driving too fast for conditions,None Indicated,Unknown,Dark - roadway lighted,Ice/frost,Cloudy,Unknown,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2000,2,4,N/A,POINT (-93.681623813245 41.62253991643)
2009486411,,01/05/2009,01-January,2-Monday,15:01,1500 Hours,District 2 (Northeast),,,,Co Rd A52/E MAIN ST/ELON DR & FOUR CORNERS RD,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Swerving/Evasive Action,None Indicated,None apparent,Daylight,Ice/frost,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Minor Injury,0,1,0,1,0,0,4000,2,3,N/A,POINT (-91.448955162218 43.269077331856)
2009484457,2009000842,01/05/2009,01-January,2-Monday,05:15,0500 Hours,District 2 (Northeast),,,US 20,US 20,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Ran off road - left,None Indicated,None apparent,Dark - roadway not lighted,Dry,Clear,None apparent,"Interchange-related:  Off-ramp, diverge area",Paved,N/A,Minor Injury,0,1,0,1,0,0,7500,2,2,N/A,POINT (-92.340406076162 42.452954816236)
2009491262,,01/06/2009,01-January,3-Tuesday,12:45,1200 Hours,District 2 (Northeast),,,I-35,I-35 & IA 122/IOWA 122,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Other (explain in narrative):  Other,None Indicated,None apparent,Daylight,Other (explain in narrative),Clear,None apparent,Intersection:  Intersection with ramp,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4000,2,3,N/A,POINT (-93.354684628736 43.146485329676)
